ies,siglies,orgacad,catadm,curso,area,modalidade,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
1041,UNIVATES,Universidade,Privada sem fins lucrativos,5310,1,Educação Presencial,4311403,117,112,2.892312071,57,0.508928571,0.265463867,3.189850198,4,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5316,2,Educação Presencial,3304557,64,45,2.434937096,18,0.4,-2.397479027,1.724453452,2,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5317,1,Educação Presencial,3304557,42,35,2.286529569,13,0.371428571,-6.760600908,1.278837069,2,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5320,22,Educação Presencial,3304557,21,18,1.305494406,1,0.055555556,0.0,1.667536493,2,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5329,2,Educação Presencial,3304557,43,34,3.120955802,17,0.5,1.742473155,3.215188147,4,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5331,13,Educação Presencial,3304557,12,11,1.225185036,3,0.272727273,-5.383064161,1.105332474,2,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5332,1,Educação Presencial,3304557,14,12,3.148083663,7,0.583333333,-1.475089065,1.98414208,3,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5333,22,Educação Presencial,3304557,14,13,2.777202993,0,0.0,0.0,2.577914448,3,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5337,1,Educação Presencial,3301009,13,13,3.676911214,11,0.846153846,1.869690171,3.160789752,4,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5338,22,Educação Presencial,3301009,10,8,4.440993006,5,0.625,11.48879587,3.907842319,4,2018
1153,UCAM,Universidade,Privada sem fins lucrativos,5343,1,Educação Presencial,3303401,56,54,1.763208005,19,0.351851852,-1.80282087,1.850130932,2,2018
191,FCCAE,Faculdade,Privada sem fins lucrativos,5347,22,Educação Presencial,3304557,14,11,2.71911774,5,0.454545455,3.534021906,3.053688934,4,2018
191,FCCAE,Faculdade,Privada sem fins lucrativos,5348,1,Educação Presencial,3304557,35,29,2.499410995,13,0.448275862,0.675308964,2.60190117,3,2018
195,0,Faculdade,Privada sem fins lucrativos,5380,22,Educação Presencial,3304557,70,62,4.083501745,40,0.64516129,0.662653949,3.146646827,4,2018
195,0,Faculdade,Privada sem fins lucrativos,5381,1,Educação Presencial,3304557,28,28,3.959451689,22,0.785714286,1.387489533,3.382891664,4,2018
195,0,Faculdade,Privada sem fins lucrativos,5382,2,Educação Presencial,3304557,98,80,3.152861289,46,0.575,0.85020003,3.308805503,4,2018
195,0,Faculdade,Privada sem fins lucrativos,5383,13,Educação Presencial,3304557,32,30,2.286499749,20,0.666666667,0.881426994,2.684921732,3,2018
197,FESPPR,Faculdade,Privada sem fins lucrativos,5412,13,Educação Presencial,4106902,1,1,,0,0.0,0.0,,SC,2018
197,FESPPR,Faculdade,Privada sem fins lucrativos,5413,22,Educação Presencial,4106902,45,40,2.677352488,32,0.8,-0.273824209,2.448772284,3,2018
203,USJT,Universidade,Privada com fins lucrativos,5474,1,Educação Presencial,3550308,354,339,3.205656242,252,0.743362832,0.115368472,3.221444415,4,2018
203,USJT,Universidade,Privada com fins lucrativos,5475,22,Educação Presencial,3550308,174,161,3.282735462,123,0.763975155,0.125932856,3.291373198,4,2018
203,USJT,Universidade,Privada com fins lucrativos,5476,13,Educação Presencial,3550308,84,76,2.121391823,61,0.802631579,0.26634479,3.033141486,4,2018
203,USJT,Universidade,Privada com fins lucrativos,5492,26,Educação Presencial,3550308,87,81,2.670406345,69,0.851851852,0.484347492,3.269140187,4,2018
203,USJT,Universidade,Privada com fins lucrativos,5493,67,Educação Presencial,3550308,11,10,3.065566993,8,0.8,4.804180929,4.028299572,5,2018
