ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
8,1068548,12,3171303,45.0,1.0,1.6895084381103516,3.9805783120518354,5,2016
8,685,17,3171303,182.0,0.9680851101875305,-0.5784115195274353,3.648955603927977,4,2016
8,111128,17,3155504,27.0,0.8999999761581421,0.23417167365550995,3.616366307921547,4,2016
8,1113139,17,3126000,28.0,1.0,0.8963381052017212,3.7903584234764702,4,2016
8,120830,23,3171303,33.0,0.970588207244873,-0.12047602236270905,3.5118890926120763,4,2016
8,698,28,3171303,61.0,1.0,0.24564367532730103,3.654503855498663,4,2016
8,1112821,28,3155504,15.0,1.0,0.6403552293777466,2.912771155168061,3,2016
8,701,51,3171303,43.0,0.914893627166748,0.29177260398864746,3.495059521111093,4,2016
8,112074,92,3126000,8.0,1.0,1.456796407699585,3.363650337707469,4,2016
8,300687,3501,3171303,41.0,0.7592592835426331,-0.35298314690589905,3.334581575626509,4,2016
9,777,5,4113700,51.0,0.7183098793029785,0.1652483493089676,3.3535527709986006,4,2016
9,760,6,4113700,39.0,0.8125,-0.14086183905601501,3.1356347113347276,4,2016
9,758,12,4113700,78.0,0.9069767594337463,-0.015936601907014847,3.084591398748656,4,2016
9,751,17,4113700,53.0,0.779411792755127,0.22542905807495117,3.707711852259413,4,2016
9,761,19,4113700,31.0,0.8611111044883728,-0.4306785464286804,3.3171005576680663,4,2016
9,763,23,4113700,36.0,0.8372092843055725,-0.9814192056655884,3.172612996579518,4,2016
9,759,36,4113700,41.0,0.8913043737411499,-0.19716580212116241,3.2177702859039754,4,2016
9,762,38,4113700,47.0,0.7833333611488342,-1.7652082443237305,2.8420220479225984,3,2016
9,56129,51,4113700,10.0,0.625,0.16080120205879211,3.4389984211944244,4,2016
9,22083,55,4113700,13.0,0.8666666746139526,-0.3859378695487976,3.59268394002513,4,2016
9,92157,3501,4113700,60.0,0.7058823704719543,-0.2038438320159912,2.9731417425981954,4,2016
10,888,5,4125506,27.0,0.675000011920929,-1.0829938650131226,2.8242062464595263,3,2016
10,60123,5,4127700,25.0,0.8333333134651184,-0.22179317474365234,2.830826394392218,3,2016
10,869,6,4106902,67.0,0.8701298832893372,-0.0036997441202402115,3.008187641250461,4,2016
10,868,12,4106902,159.0,0.9695122241973877,0.26316991448402405,3.3792728195319994,4,2016
10,886,17,4125506,32.0,0.6530612111091614,0.1531887650489807,2.6563478752346015,3,2016
10,80610,17,4127700,57.0,0.890625,0.40123942494392395,3.1178544088613007,4,2016
10,61826,19,4106902,8.0,0.800000011920929,0.3306575417518616,3.3041741132544735,4,2016
10,118912,19,4127700,9.0,0.8999999761581421,0.4492557942867279,2.9451558836335736,4,2016
10,867,23,4106902,27.0,0.7714285850524902,0.07051145285367966,2.6743782328728054,3,2016
