ies,orgacad,catadm,curso,area,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano,adm
140,Universidade,Privada,19237,1,3306206,53,52,2.807952404022217,34.0,0.6538461446762085,0.31407612562179565,2.975039063524716,4,2015,priv
140,Universidade,Privada,107996,1,3302700,29,26,1.436542272567749,13.0,0.5,-1.602358341217041,1.407902518889531,2,2015,priv
142,Centro Universitário,Privada,4541,1,3170206,33,30,2.446906805038452,13.0,0.4333333373069763,-0.039542779326438904,2.541058421662259,3,2015,priv
143,Universidade,Privada,4599,1,3170107,124,118,2.5609679222106934,77.0,0.6525423526763916,0.048913389444351196,2.4989711284119913,3,2015,priv
143,Universidade,Privada,66056,1,3170206,55,43,2.1589608192443848,17.0,0.39534884691238403,-3.8413355350494385,1.6751904583535937,2,2015,priv
143,Universidade,Privada,88798,1,3170107,272,221,1.9679540395736694,62.0,0.2805429995059967,-0.43780243396759033,2.3014535103844387,3,2015,priv
146,Centro Universitário,Privada,4670,1,3549805,172,156,2.2510392665863037,80.0,0.5128205418586731,-0.14289134740829468,2.628848729839438,3,2015,priv
146,Centro Universitário,Privada,1185648,1,3549805,17,16,1.7245521545410156,5.0,0.3125,-1.8542722463607788,,Curso não reconhecido até 31/12/2015,2015,priv
150,Universidade,Privada,67899,1,3552205,198,143,2.0984129905700684,86.0,0.6013985872268677,-0.5486752986907959,2.410392114278298,3,2015,priv
151,Faculdade,Privada,32885,1,3550308,449,428,5.0,207.0,0.48364487290382385,-0.14965704083442688,3.6943256252825316,4,2015,priv
159,Faculdade,Privada,120112,1,2604106,74,73,1.5592093467712402,50.0,0.6849315166473389,0.13263802230358124,2.3026816038340794,3,2015,priv
160,Faculdade,Privada,18169,1,2611606,186,168,2.1128907203674316,96.0,0.5714285969734192,-0.4544757008552551,2.2578538262037195,3,2015,priv
161,Centro Universitário,Privada,4870,1,3550308,104,87,1.5821313858032227,11.0,0.12643678486347198,,2.1554232645022697,3,2015,priv
163,Universidade,Privada,4918,1,3304557,23,22,2.876138687133789,7.0,0.3181818127632141,0.15948697924613953,3.186172987889428,4,2015,priv
163,Universidade,Privada,4946,1,3304557,85,62,2.9626731872558594,17.0,0.27419355511665344,1.6393886804580688,3.6156076628675278,4,2015,priv
163,Universidade,Privada,4972,1,3304557,16,14,2.8002896308898926,6.0,0.4285714328289032,0.8997600078582764,3.2311333625926455,4,2015,priv
163,Universidade,Privada,19302,1,3303302,102,84,2.6072301864624023,27.0,0.3214285671710968,0.29832032322883606,3.209632223286453,4,2015,priv
163,Universidade,Privada,19325,1,3304557,173,131,2.915712356567383,31.0,0.23664122819900513,-0.014070147648453712,3.1815570313788983,4,2015,priv
163,Universidade,Privada,20907,1,3304201,24,20,2.41178035736084,6.0,0.30000001192092896,-2.529029369354248,2.7041063753266714,3,2015,priv
163,Universidade,Privada,21917,1,3304557,57,52,2.3628482818603516,22.0,0.42307692766189575,0.0934741273522377,3.3203783333430867,4,2015,priv
163,Universidade,Privada,41157,1,3304557,91,74,2.411134719848633,28.0,0.37837839126586914,-1.0067932605743408,2.843552337552879,3,2015,priv
163,Universidade,Privada,41253,1,3304557,88,74,2.1369712352752686,20.0,0.2702702581882477,-1.0757958889007568,2.85877323391264,3,2015,priv
163,Universidade,Privada,41320,1,3304557,90,77,1.8687796592712402,13.0,0.16883116960525513,,2.7709778486348204,3,2015,priv
163,Universidade,Privada,49855,1,3301009,27,27,2.347381353378296,7.0,0.25925925374031067,-0.5754586458206177,3.0613901324431323,4,2015,priv
163,Universidade,Privada,50110,1,3304557,81,71,3.0009055137634277,30.0,0.4225352108478546,1.1269317865371704,3.400519921729515,4,2015,priv
163,Universidade,Privada,50210,1,3303906,50,35,2.8077497482299805,15.0,0.4285714328289032,2.8672420978546143,3.604330654329488,4,2015,priv
163,Universidade,Privada,57214,1,3300704,38,34,2.938004493713379,16.0,0.47058823704719543,1.7342698574066162,3.6582113395852867,4,2015,priv
163,Universidade,Privada,58178,1,3304557,40,33,3.037271499633789,8.0,0.24242424964904785,2.991222620010376,3.789888287157935,4,2015,priv
163,Universidade,Privada,58709,1,3302403,47,36,2.1458985805511475,13.0,0.3611111044883728,-0.28263723850250244,3.0190210238386506,4,2015,priv
163,Universidade,Privada,58711,1,3304144,42,33,2.1848740577697754,8.0,0.24242424964904785,-3.347808837890625,2.6248325268657613,3,2015,priv
163,Universidade,Privada,63416,1,3305109,73,59,1.9974093437194824,15.0,0.2542372941970825,-1.0603946447372437,2.7638435098388494,3,2015,priv
163,Universidade,Privada,63420,1,3304904,17,16,2.3879706859588623,9.0,0.5625,2.067321538925171,3.586814037781028,4,2015,priv
163,Universidade,Privada,68456,1,3303500,109,80,2.697829484939575,38.0,0.4749999940395355,0.17567883431911469,3.182871876589251,4,2015,priv
163,Universidade,Privada,68920,1,3301702,39,36,2.1775918006896973,14.0,0.3888888955116272,0.33797457814216614,3.083589997917366,4,2015,priv
163,Universidade,Privada,84537,1,3304557,33,29,2.413386344909668,9.0,0.3103448152542114,-1.1724786758422852,2.8402714824668185,3,2015,priv
163,Universidade,Privada,91277,1,3304557,41,38,2.3315186500549316,15.0,0.3947368562221527,-0.2576969265937805,3.0015228619325147,4,2015,priv
163,Universidade,Privada,92208,1,3304557,20,17,1.6930794715881348,2.0,0.11764705926179886,,2.6966724555295136,3,2015,priv
163,Universidade,Privada,102989,1,3303401,46,45,2.1025214195251465,25.0,0.5555555820465088,-0.9745757579803467,2.524011085852771,3,2015,priv
163,Universidade,Privada,111462,1,3304557,2,0,,,,,,SC,2015,priv
163,Universidade,Privada,121297,1,3304557,908,687,2.905365228652954,126.0,0.18340611457824707,,3.4565235285053517,4,2015,priv
165,Universidade,Privada,5084,1,3304557,190,171,2.862488269805908,80.0,0.46783626079559326,-0.05814690887928009,3.1182327476042797,4,2015,priv
165,Universidade,Privada,61884,1,3300704,42,41,2.468167304992676,27.0,0.6585366129875183,0.17876264452934265,3.0000547183106816,4,2015,priv
166,Faculdade,Privada,5112,1,3159605,81,79,3.453760862350464,58.0,0.7341772317886353,1.0072211027145386,2.8343318510793973,3,2015,priv
167,Universidade,Privada,22220,1,3548708,333,321,3.031649589538574,229.0,0.7133956551551819,0.07067397981882095,2.7021862407937722,3,2015,priv
167,Universidade,Privada,92356,1,3548708,144,138,2.222914218902588,49.0,0.3550724685192108,-0.2816765308380127,2.7077599485383788,3,2015,priv
170,Faculdade,Estadual,20278,1,3530508,18,17,1.1230692863464355,11.0,0.6470588445663452,-1.084734559059143,1.6422861195967675,2,2015,pub
176,Universidade,Privada,5227,1,3304557,160,124,1.9430667161941528,77.0,0.6209677457809448,-0.4439855217933655,2.5643072963018203,3,2015,priv
176,Universidade,Privada,123846,1,3304557,34,24,1.8685755729675293,12.0,0.5,-1.586045265197754,2.257258902119881,3,2015,priv
176,Universidade,Privada,1172852,1,3304557,14,14,1.2145073413848877,6.0,0.4285714328289032,-3.8277370929718018,1.928045988987314,2,2015,priv
