area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1660,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,Privada com fins lucrativos,50774,23,0.935981438,1,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1728,FACULDADE INTERAMERICANA DE PORTO VELHO,Privada com fins lucrativos,50779,19,2.267923842,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1728,FACULDADE INTERAMERICANA DE PORTO VELHO,Privada com fins lucrativos,50780,11,2.816622842,3,2018
22,CIÊNCIAS CONTÁBEIS,1728,FACULDADE INTERAMERICANA DE PORTO VELHO,Privada com fins lucrativos,50781,75,1.60197541,2,2018
22,CIÊNCIAS CONTÁBEIS,1775,Centro Universitário Favip Wyden,Privada com fins lucrativos,50783,83,2.028813515,3,2018
22,CIÊNCIAS CONTÁBEIS,1618,Faculdade SOCIESC de Blumenau,Privada com fins lucrativos,50785,25,2.781704401,3,2018
22,CIÊNCIAS CONTÁBEIS,1201,FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS,Privada com fins lucrativos,50787,14,1.828187964,2,2018
22,CIÊNCIAS CONTÁBEIS,1450,CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO,Privada sem fins lucrativos,50789,31,1.33604397,2,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,Pessoa Jurídica de Direito Público - Estadual,50852,32,2.654998541,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,Pessoa Jurídica de Direito Público - Estadual,50853,35,2.565468728,3,2018
26,DESIGN,1185,CENTRO UNIVERSITÁRIO JORGE AMADO,Privada com fins lucrativos,50872,13,1.918601075,2,2018
83,TECNOLOGIA EM DESIGN DE MODA,1472,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,Privada com fins lucrativos,50876,50,2.095215877,3,2018
1,ADMINISTRAÇÃO,718,UNIVERSIDADE POTIGUAR,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50901,103,2.464809901,3,2018
1,ADMINISTRAÇÃO,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,Pessoa Jurídica de Direito Público - Estadual,50902,36,2.549156778,3,2018
22,CIÊNCIAS CONTÁBEIS,718,UNIVERSIDADE POTIGUAR,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50905,131,1.863324121,2,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,750,CENTRO UNIVERSITÁRIO UNIRG,Pessoa Jurídica de Direito Público - Municipal,50913,0,,SC,2018
29,TURISMO,1875,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE IBITINGA",Pessoa Jurídica de Direito Público - Municipal,50918,7,1.139381419,2,2018
1,ADMINISTRAÇÃO,1876,FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU,Pessoa Jurídica de Direito Público - Municipal,50922,27,2.464686346,3,2018
1,ADMINISTRAÇÃO,1170,FACULDADE METROPOLITANA DE CAMAÇARI,Privada sem fins lucrativos,50953,49,2.066150844,3,2018
2,DIREITO,1208,FAL ESTÁCIO - FACULDADE ESTÁCIO DE NATAL,Privada com fins lucrativos,50977,134,1.389546359,2,2018
1,ADMINISTRAÇÃO,1240,FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,Privada sem fins lucrativos,50983,8,2.687170113,3,2018
85,TECNOLOGIA EM PROCESSOS GERENCIAIS,1610,FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA,Privada sem fins lucrativos,50996,0,,SC,2018
2,DIREITO,1232,CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE,Privada sem fins lucrativos,51018,10,1.615533219,2,2018
1,ADMINISTRAÇÃO,1879,Centro Universitário UNIFACEAR,Privada com fins lucrativos,51048,71,2.263447078,3,2018
1,ADMINISTRAÇÃO,1881,FACULDADE DA ESCADA,Privada com fins lucrativos,51063,18,1.939033588,2,2018
1,ADMINISTRAÇÃO,532,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,Privada sem fins lucrativos,51083,33,3.086877137,4,2018
1,ADMINISTRAÇÃO,1884,FACULDADE DE RANCHARIA,Privada com fins lucrativos,51111,12,0.807945729,1,2018
2,DIREITO,1243,Faculdade Doctum da Serra,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,51125,68,2.460508905,3,2018
22,CIÊNCIAS CONTÁBEIS,4218,FACULDADE PEDRO LEOPOLDO,Privada sem fins lucrativos,51129,45,1.067996096,2,2018
