area,ies,municipio,Ncursos,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
4301,582,4316907,1,11,11,3.311080122131014,5,0.45454545454545453,6.691341952526765,3.1904440746177696,4,2014
4301,583,2304400,1,18,16,3.6046410645404485,7,0.4375,1.7672947331943962,3.140828761352036,4,2014
4301,583,2312908,1,4,4,4.941291449484307,4,1.0,9.381782654107461,,,2014
4301,584,5208707,4,73,62,2.4671604283292243,14,0.22580645161290322,1.7686216299966726,2.7210954250846515,3,2014
4301,586,3304557,1,23,18,3.8594810475416104,6,0.3333333333333333,3.547514568176562,3.2484,4,2014
4301,634,4314407,1,23,21,0.8415079567227567,12,0.5714285714285714,-7.603576916426022,1.435187133050315,2,2014
4301,652,3538006,1,20,17,1.122912710312685,3,0.17647058823529413,,1.4025217345474275,2,2014
4301,666,2910800,1,6,6,2.781484787613143,2,0.3333333333333333,6.432658553213642,,,2014
4301,693,3304557,1,4,0,,0,,,,SC,2014
4301,694,5002704,1,16,16,2.0089097467026336,8,0.5,4.153602481401478,2.9086832649681,3,2014
4301,699,1100205,1,12,11,2.0121466503528636,4,0.36363636363636365,-3.5738916170943336,,,2014
4301,730,4119905,1,12,11,0.5518033385750064,3,0.2727272727272727,-0.31354373524814605,1.7424708320996383,2,2014
4301,953,3548500,1,232,147,1.535843211518422,25,0.17006802721088435,,,,2014
4301,1036,3106200,2,70,55,1.7391281837488517,9,0.16363636363636364,,1.861304010964115,2,2014
4301,1153,3303401,1,29,23,2.2035882652451724,7,0.30434782608695654,0.0069812309188433475,1.8017056760539545,2,2014
4301,1189,4209300,1,6,6,1.4304733790109947,3,0.5,0.24904292477071266,2.063179742174817,3,2014
4301,1190,3550308,1,26,23,3.505677508575424,15,0.6521739130434783,3.1345153454557186,2.9726072922680777,4,2014
4301,1258,4104808,1,26,20,1.1578229895624486,16,0.8,-0.6905772839254176,2.1185,3,2014
4301,1273,3509601,1,29,28,1.5598588558661444,8,0.2857142857142857,-1.3018758588262056,1.9039062490345677,2,2014
4301,1365,3515152,1,19,18,3.396827161782923,8,0.4444444444444444,9.263541954235038,3.681107277276373,4,2014
4301,1429,3304557,1,11,10,2.163369368632672,2,0.2,10.72361596235121,,,2014
4301,1809,2601706,1,9,8,1.55906513984525,7,0.875,2.162340573093968,,,2014
4301,1811,5208707,1,22,21,1.738884565176929,6,0.2857142857142857,2.2825557223293678,,,2014
4301,1937,2927408,1,72,43,0.6132037457541414,15,0.3488372093023256,-2.38773915937225,1.9200191373833222,2,2014
4301,2192,4310801,1,2,2,2.7858190342024427,2,1.0,1.6314243767228191,2.60731315970653,3,2014
4301,2556,3550308,1,18,17,3.287929991692322,2,0.11764705882352941,,2.840468767694885,3,2014
4301,2564,2504009,1,15,15,2.192802271618625,5,0.3333333333333333,0.692798465790176,2.2151776441990876,3,2014
4301,3172,1302603,3,19,9,2.1773922439512647,3,0.3333333333333333,4.9507278373994525,,,2014
4301,3336,4312401,1,5,2,3.8304253943326945,0,0.0,,3.139679788577133,4,2014
4301,3368,3170701,1,50,46,1.9473842905657675,12,0.2608695652173913,-1.7236788686358597,,,2014
4301,3757,5221601,1,21,15,0.5510360657594461,2,0.13333333333333333,,,,2014
4301,4010,4314902,1,50,40,1.3102584367190324,12,0.3,-2.586704894039041,1.898105714298832,2,2014
4301,4179,3509502,1,19,14,1.9344776726968258,3,0.21428571428571427,6.937711863330257,,,2014
4301,18492,4106902,2,55,41,2.393692310897164,18,0.43902439024390244,-0.6079157028829848,2.2390693488300126,3,2014
4301,18759,2307304,1,27,25,2.168316357507424,18,0.72,-0.043241096624950695,2.552152023268486,3,2014
5401,1,5103403,1,4,4,3.4974322786475027,4,1.0,0.9943039489223757,2.8517387118746194,3,2014
5401,2,5300108,3,154,119,2.9253075739493815,33,0.2773109243697479,0.04983181197512853,2.8638656864772423,3,2014
5401,3,2806701,1,32,17,2.1778521865097384,8,0.47058823529411764,0.0498281516912904,2.4018127686335857,3,2014
5401,4,1302603,1,44,26,0.8817012436241355,10,0.38461538461538464,-11.09320432428497,1.4617954116565737,2,2014
5401,5,2211001,1,26,18,3.7180231188461477,15,0.8333333333333334,0.7659385126083251,2.815205609891108,3,2014
5401,7,3548906,1,85,80,3.7285041227758624,69,0.8625,-0.7701724936874786,3.0267946695336305,4,2014
5401,8,3171303,1,43,39,2.827977105968357,14,0.358974358974359,-0.18049065742571152,2.811602606365099,3,2014
5401,9,4113700,2,97,49,3.0296743895271585,12,0.24489795918367346,-0.1596940183601546,2.8965191177884724,3,2014
5401,17,3170206,1,11,6,0.685625243474874,3,0.5,-14.069918273182987,1.73981884383674,2,2014
5401,19,3509502,1,35,19,3.3505077402887826,3,0.15789473684210525,,3.2951385434264444,4,2014
5401,21,4314902,1,19,18,3.475779409890645,10,0.5555555555555556,0.4296745449849574,3.1300755878027817,4,2014
5401,29,2304400,1,15,6,2.1761088208910278,3,0.5,-1.039031864401771,2.0957751249201237,3,2014
5401,54,3509502,2,137,80,0.0,38,0.475,-0.7811647857093019,2.2727319545279454,3,2014
5401,56,3503208,1,154,96,2.2695039358229256,28,0.2916666666666667,-1.7829271013929013,2.5143914240586467,3,2014
5401,56,3529005,1,157,0,,0,,,,SC,2014
5401,57,4115200,1,4,4,2.2669745255525706,2,0.5,6.362680948413178,3.780197737185309,4,2014
5401,71,2408003,1,19,14,2.524580633877071,6,0.42857142857142855,0.8222675149936093,2.953051873363079,4,2014
5401,95,2312908,1,41,28,2.2453448332134,14,0.5,0.5752289677692671,2.3247198579600235,3,2014
5401,221,3550308,1,33,31,0.8415242959903603,13,0.41935483870967744,-4.1388047463350075,2.0349345074211587,3,2014
5401,338,3106200,1,22,19,3.7130305769229004,6,0.3157894736842105,3.8521903905859056,3.6348492122946245,4,2014
5401,367,3143302,1,41,34,2.10178998255398,23,0.6764705882352942,0.2790398758503418,2.022582761201269,3,2014
5401,373,3550308,1,121,77,3.639634969227778,16,0.2077922077922078,1.3776504627979769,3.1328475586069775,4,2014
5401,383,1501402,1,4,1,,1,1.0,,,SC,2014
