area,ies,curso,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
21,952,18460,3548500,55,54,1.61469876702,36.0,0.666666666667,-1.004732106272,2.418174212,3,2017
21,1038,1175586,5008305,30,24,1.657312041812,12.0,0.5,-2.05380063775,2.314264651,3,2017
21,1041,63950,4311403,99,98,2.824539670733,58.0,0.591836734694,0.847084419384,3.181659277,4,2017
21,1042,21581,4106902,137,131,3.462550823265,106.0,0.809160305344,0.005157452322,3.032978612,4,2017
21,1046,1175585,3549805,22,21,1.852482941087,10.0,0.47619047619,0.968196584739,2.982047591,4,2017
21,1060,1179176,5300108,20,20,2.802665894384,10.0,0.5,1.572732342401,3.232256794,4,2017
21,1087,117543,1100205,47,44,1.75411908917,37.0,0.840909090909,0.129273530958,2.552915747,3,2017
21,1107,5000234,2304400,160,152,2.228968082069,120.0,0.789473684211,-0.381290986062,2.488180146,3,2017
21,1113,73530,5300108,19,19,2.69610222895,10.0,0.526315789474,1.943207388665,3.273456493,4,2017
21,1113,111258,5300108,76,59,1.92754533104,43.0,0.728813559322,-0.495924778435,2.841870092,3,2017
21,1120,96861,3301009,73,64,2.972135646809,51.0,0.796875,0.165729719912,2.738680058,3,2017
21,1128,20862,3133808,157,154,1.15566150953,133.0,0.863636363636,-1.571994327742,1.638579462,2,2017
21,1129,1138990,3549805,26,24,1.46015683513,15.0,0.625,0.328495194563,1.941931544,2,2017
21,1149,20089,3545209,100,96,1.960670875267,68.0,0.708333333333,-0.010433717504,2.959440434,4,2017
21,1185,118846,2927408,72,66,1.674633659354,53.0,0.80303030303,-0.061299467964,2.747307388,3,2017
21,1187,20711,3510500,48,45,1.20871934398,23.0,0.511111111111,-1.870944465063,2.386841893,3,2017
21,1196,57232,4115200,219,206,2.424448694566,165.0,0.800970873786,-0.163400924793,2.612157619,3,2017
21,1244,20719,3205309,95,84,3.253781970306,74.0,0.880952380952,0.364358404968,3.13918166,4,2017
21,1255,1192286,2611606,4,4,4.629274611399,2.0,0.5,4.587562226948,4.473733953,5,2017
21,1270,88448,3543402,41,40,2.25296969074,38.0,0.95,-0.561294642814,2.452361869,3,2017
21,1319,1174106,3147006,33,32,1.590035239494,27.0,0.84375,-0.786268720867,2.472805513,3,2017
21,1334,65205,2504009,99,97,2.331799385222,83.0,0.855670103093,-0.072188668693,2.67842522,3,2017
21,1336,50235,4104808,186,175,1.91766821367,138.0,0.788571428571,0.041524615524,2.612726854,3,2017
21,1337,108426,4118501,82,73,2.662760475745,58.0,0.794520547945,0.76576877807,2.55305501,3,2017
21,1351,74432,4209102,94,81,2.638326107162,49.0,0.604938271605,0.75819136425,3.290077943,4,2017
21,1365,1258945,3515152,111,61,2.230548681693,42.0,0.688524590164,0.983053301737,2.862620094,3,2017
21,1379,5000284,3205309,32,32,2.958041273879,27.0,0.84375,0.77223041396,2.986748849,4,2017
21,1396,20742,4108304,107,100,1.637521531509,63.0,0.63,-0.272158349076,2.673417252,3,2017
21,1418,1147234,3502804,59,48,2.20621326076,37.0,0.770833333333,0.019638201219,3.019482722,4,2017
21,1419,1187329,4106902,18,18,2.880209582677,12.0,0.666666666667,1.620532621703,3.333034685,4,2017
21,1422,20679,1302603,250,130,1.229736034241,93.0,0.715384615385,-0.888814826962,2.466207968,3,2017
21,1423,1157246,1501402,51,50,1.693295947562,34.0,0.68,-0.487246310542,2.750840441,3,2017
21,1427,5000224,4305108,23,20,2.631793706634,10.0,0.5,1.807512125331,2.531900642,3,2017
21,1428,20723,5300108,22,18,0.387564766839,3.0,0.166666666667,,0.88079131,1,2017
21,1430,1104579,4115200,21,15,2.547241030742,13.0,0.866666666667,1.928661131347,3.27775206,4,2017
21,1437,109294,3543907,43,42,1.635039411531,22.0,0.52380952381,-1.366543276141,2.445803688,3,2017
21,1444,1102447,3526902,35,31,2.571985455058,26.0,0.838709677419,1.110503964657,2.440728504,3,2017
21,1446,121413,5300108,46,36,1.362257886754,24.0,0.666666666667,-0.933146664852,1.716227361,2,2017
21,1493,1182262,5208707,17,17,1.895016113368,14.0,0.823529411765,-0.227935704742,1.777127577,2,2017
